path,suffix,matched_terms,snippet
scripts\02_run_nanofin_single.py,.py,run(,L42: rows = runner.run()
scripts\05_setup_nanofin_xy_sweep_cases.py,.py,run(,L55: ).run()
scripts\06_extract_nanofin_xy_sweep_case.py,.py,run(,L42: ).run()
scripts\08_run_nanofin_xy_sweep_cases.py,.py,run(,L128: ).run() | L150: ).run() | L162: ).run()
scripts\13_run_apcd_single_dimer.py,.py,run(,L47: ).run()
scripts\stage10lp_j1_identity_shape_scan.py,.py,power,"L338: ""amp_balance"": row.get(""amp_balance"") or row.get(""amp_balance_from_power"") or """","
scripts\stage11_lp_apcd_240_300_expanded_search_stage11_3b4.py,.py,dipole;run(;power,"L136: ""Tx"": row.get(""Tx"") or row.get(""target_conversion"") or row.get(""selected_x_power"") or """", | L266: row.setdefault(""static_target_x_power"", """") | L267: row.setdefault(""static_leak_y_power"", """") | L443: ""- No K=6/metagrating, finite patch, dipole, DBR, RCLED, H600/H700, or Stage10 CP modification."", | L471: def run(runtime_path: str = ""configs/runtime.yaml"", keep_temp: bool = False) -> dict[str, object]: | L497: summary = run(args.runtime, args.keep_temp) | L503: print(""boundary=h500_lp_single_dimer_449_450_451_only_no_k6_no_stage10_cp_no_finite_patch_no_dipole_no_dbr_no_rcled"")"
scripts\stage11_lp_apcd_audit_h500_120_y_pair_micro_rescue_stage11_2h.py,.py,power,"L24: ""selected_x_power"": 0.505731, | L36: ""selected_x_power"", | L110: ""selected_x_power"": fmt(selected), | L139: selected = BEFORE[""selected_x_power""] | L183: f""- Tx = {before['selected_x_power']}"", | L191: f""- Tx = {after['selected_x_power']}"","
scripts\stage11_lp_apcd_audit_h500_dimer_120_240_refine_stage11_2f.py,.py,power,"L35: ""selected_power"", | L36: ""blocked_input_total_power"", | L90: selected_power = t_xx_amp * t_xx_amp | L92: blocked_power = t_xy_amp * t_xy_amp + t_yy_amp * t_yy_amp | L93: ratio = selected_power / max(blocked_power, EPS) | L94: purity = selected_power / max(selected_power + x_input_cross, EPS) | L95: matrix_error = math.sqrt(x_input_cross + blocked_power) / max(t_xx_amp, EPS) | L98: if selected_power < 0.10:"
scripts\stage11_lp_apcd_audit_h500_dimer_240_fine_pull_stage11_2e.py,.py,power,"L34: ""selected_power"", | L35: ""blocked_input_total_power"", | L93: selected_power = t_xx_amp * t_xx_amp | L95: blocked_power = t_xy_amp * t_xy_amp + t_yy_amp * t_yy_amp | L96: ratio = selected_power / max(blocked_power, EPS) | L97: purity = selected_power / max(selected_power + x_input_cross, EPS) | L98: matrix_error = math.sqrt(x_input_cross + blocked_power) / max(t_xx_amp, EPS) | L101: if selected_power < 0.10:"
