risk_component,input_feature,threshold_or_condition,severity,rationale,negative_samples_triggered,intended_failure_mode_blocked
center_only_false_positive_risk,center_only_false_positive_flag or missing tri-point evidence,true -> hard_reject,hard_reject,Center-only results repeatedly failed x-line validation.,D5_BASE_13461,center-only false positive
source_position_instability_risk,source_position_peak_std_deg or source_position_instability_flag,std > 5 deg -> hard_reject; 2-5 deg -> strong_warning,hard_reject,Source-position ensemble must remain stable before FDTD expansion.,D5_BASE_13461;F0_0204,source-position instability
thirty_forty_lobe_risk,measured/proxy 30-40 deg lobe fraction,>=0.25 or dominant over normal cone -> hard_reject,hard_reject,D5 and F0 routes revived 30-40 deg energy.,D5_BASE_13461;F0_0204,30-40 deg off-axis lobe
fortyfive_fiftyfive_lobe_risk,measured/proxy 45-55 deg lobe fraction,>=0.25 or dominant over normal cone -> hard_reject,hard_reject,E1_0236 and F0_0204 showed far-offaxis/leaky-like channels.,E1_0236;F0_0204,45-55 deg far-offaxis lobe
broad_40_60_faroffaxis_risk,40-60 deg broad lobe fraction,>=0.30 -> hard_reject; 0.20-0.30 -> strong_warning,hard_reject,F0_0781 and F0_0204 failed through broad high-angle response.,F0_0781;F0_0204,broad 40-60 deg channel
stable_offnormal_20_30deg_risk,peak_abs_angle proxy/risk near 20-30 deg,20 <= peak_abs <= 30 -> strong_warning; hard_reject for final pass if >8 deg,strong_warning,25-30 deg can be intermediate literature baseline but not final relaxed target pass.,F0_0781,stable off-normal around 26 deg
severe_faroffaxis_gt45deg_risk,peak_abs_angle risk,>45 deg -> hard_reject,hard_reject,Severe far-offaxis peaks are incompatible with normal RCLED target.,E1_0236;F0_0204,faroffaxis >45 deg
broad_fwhm_risk,angular_FWHM proxy/risk,>20 deg -> hard_reject for final pass; 15-20 deg -> strong_warning,hard_reject,"Relaxed target angular FWHM is <=20 deg, but Python-only cannot claim success.",F0_0781;F0_0204,broad angular FWHM
normal_offaxis_low_risk,normal_offaxis proxy/risk,<=1.0 -> hard_reject; 1.0-1.5 -> strong_warning,hard_reject,All FDTD failures had normal/offaxis <=1.,E1_0236;F0_0781;F0_0204,weak normal cone
spectral_proxy_success_but_angular_failure_risk,spectral_FWHM good but angular flags active,spectral_FWHM<=10 nm and any angular hard flag -> hard_reject,hard_reject,Spectral narrowing did not guarantee angular narrowing.,E1_0236;F0_0781;F0_0204,spectral success / angular failure
high_top_mirror_guided_leaky_channel_risk,high top mirror / high-R cavity route with faroffaxis flags,high top DBR/MDC plus 45-55 or 40-60 risk -> hard_reject,hard_reject,High top reflectors can trap or redirect energy into leaky channels.,E1_0236;F0_0204,guided/leaky channel
top_MDC_angle_filter_false_positive_risk,top_MDC route with 20-60 offaxis risk,top_MDC route and offnormal/faroffaxis warning -> strong_warning; hard_reject if final target flags fail,strong_warning,Top MDC angular filter proxy failed on F0_0781.,F0_0781,top MDC false positive
