conclusion,status,reason
27x297_raw_data,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
H500_choice,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
phase_vs_diameter,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
H500_phase_span,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
single_pillar_T,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
phase_curve,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
transmission_curve,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
296010_combinations,UNAFFECTED,mathematical count
8_passing_sextets,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
phase_champion,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
runner_up,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
transmission_balanced,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
broadband_pareto,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
D180_participation,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
D180_passing,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
D180_pareto,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
D4A_candidates,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
DFT_plus1,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
grating_sign_bridge,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
P1D3_y_scope,REQUIRES_CORRECTED_DIRECTION_SPOTCHECK,historical orientation unavailable from manifest-resolved FSP
old_blank_RUN1,SUPERSEDED,historical orientation unavailable from manifest-resolved FSP
corrected_K6_prefsp,UNAFFECTED,historical orientation unavailable from manifest-resolved FSP
